"y1","x13","x16","x31","x32","x33","x34","x35","x36","x39","x42","x45","x48","x49","x50","x52","x55","x56","x57","x59","x61","x62","x63","x64","x65","x67","x68","x69","x70","x72","x74","x75","x80","x83","x84","x85","x87","x88","x89","x90","x92","x93","x95"
1,0.458143144,0.147949939,0.263099984,0.363725271,0.002258963,0.001207755,0.629951302,0.021265924,0.005024455,0.095884834,0.086956522,0.000182093,0.000116501,0.032903226,0.392912869,0.166672959,0.190642959,0.004094406,0.000147336,0.334015171,0.276920158,0.00103599,0.676269176,0.721274552,0.025592368,0.903224771,0.002021613,0.064855708,6.55e+09,4.58e+08,0.671567654,0.637555395,0.312904948,0.118250477,0,0.00921944,0.622878959,0.60145329,0.827890214,0.026600631,0.564050112,0.016468741
1,0.461867257,0.182251064,0.264515778,0.376709139,0.006016206,0.004039367,0.635172463,0.012502394,0.005058882,0.093743384,0.064467766,9.36e+09,7.19e+08,0.025483871,0.391589969,0.127236002,0.182419054,0.014947727,0.00138391,0.341105992,0.289641576,0.005209682,0.308588593,0.731975289,0.023946819,0.931065218,0.002225608,0.02551586,7.7e+09,2.49e+09,0.671569942,0.641099985,0.314163135,0.047775282,0,0.008323302,0.623651742,0.610236526,0.839969268,0.26457682,0.570174946,0.020794306
1,0.458520587,0.17791075,0.264183976,0.36891323,0.011542554,0.00534756,0.629631443,0.021247686,0.005099899,0.092318465,0.014992504,6.5e+07,2.65e+09,0.013387097,0.381967843,0.340200878,0.602805702,0.000990944,5.34e+09,0.336731495,0.277455528,0.013878786,0.446027487,0.742728638,0.003715116,0.909903362,0.002060071,0.021387428,0.001022676,7.61e+08,0.671571322,0.64276455,0.314515426,0.025346489,0,0.040002853,0.623841038,0.60144934,0.836774309,0.02655472,0.563706076,0.016474114
1,0.465705443,0.154186507,0.263371176,0.384076599,0.004194059,0.002896491,0.630228353,0.009572402,0.005046924,0.077727295,0.089955022,7.13e+09,9.15e+09,0.028064516,0.378496642,0.161574532,0.225814869,0.018850625,0.001010646,0.348716439,0.276580304,0.003540148,0.615848369,0.729824909,0.0221652,0.906902159,0.001831359,0.02416107,6.05e+09,2.03e+09,0.67151917,0.579039312,0.302382255,0.067249617,0,0.003252475,0.622928709,0.583537612,0.834697107,0.026696634,0.56466342,0.023982332
1,0.462746282,0.167502423,0.265218236,0.379689654,0.006022446,0.003727447,0.636054986,0.0051496,0.005303319,0.09692706,0.175412294,0.000163367,0.000293521,0.04016129,0.394371452,0.260329881,0.35838016,0.014160974,0.000680464,0.344638754,0.287912653,0.00486857,0.975006616,0.731999641,0,0.913850197,0.00222393,0.026385246,5.05e+09,8.24e+08,0.671563053,0.622374075,0.311567161,0.047725372,0,0.003877563,0.623520698,0.59878151,0.839972746,0.024751848,0.575616645,0.035490201
1,0.465861453,0.155577093,0.263249955,0.388025781,0.002740085,0.000854661,0.630183833,0.014213152,0.004913193,0.078101845,0.095952024,6.5e+08,9.3e+09,0.029677419,0.377569481,0.080263715,0.214535988,0.002645226,0.000100856,0.350563147,0.276678474,0.004879131,0.733351869,0.725201639,0.003772505,0.903041267,0.001865609,0.040093622,2.81e+09,2.95e+08,0.671567593,0.637469772,0.313268472,0.099521933,0,0.005277875,0.622604643,0.590172327,0.829938957,0.026675366,0.564538339,0.019534478
0,0.461020105,0.158821794,0.26303238,0.375302709,0.00467206,0.002869042,0.629987945,0.024441222,0.005005044,0.099866465,0.100449775,0.00016203,0.000145248,0.040806452,0.393172927,0.25509317,0.295221007,0.022988598,0.001050312,0.340080537,0.276643292,0.002159349,0.508088826,0.728730796,0.009347426,0.911441408,0.002120736,0.092802307,9.56e+09,2.39e+09,0.67156226,0.630419077,0.310296438,0.060765125,0,0.018371872,0.623655442,0.619948867,0.829979764,0.026622298,0.56420012,0.015663075
0,0.46702398,0.176983692,0.264111709,0.384234939,0.00965738,0.007304548,0.631379022,0.005278181,0.005640165,0.104784471,0.218890555,0.000199098,0.000518201,0.046290323,0.396463219,0.361219101,0.447942035,0.014615913,0.000888122,0.353510615,0.277275205,0.005755846,0.755769661,0.73494641,0.005345656,0.935449309,0.002359999,0.025482153,6.18e+09,7.34e+08,0.671571763,0.641553075,0.314363648,0.030201105,0,0.010004504,0.623842635,0.60173934,0.84145944,0.027030517,0.566088942,0.034888556
0,0.463142179,0.184189457,0.264150562,0.377994486,0.013498866,0.011823024,0.630914987,0.002266116,0.005417946,0.095209015,0.154422789,0.000304188,0.000245862,0.029516129,0.391940481,0.378625212,0.414645601,0.145189218,0.013190215,0.345440819,0.27708743,0.004384755,0.906707131,0.735182055,0,0.935200209,0.00227396,0.029884061,9.84e+09,0.00010523,0.671576185,0.649869164,0.315376064,0.021710461,0,0.000824071,0.623977217,0.603613451,0.840486633,0.02689063,0.565591901,0.065826497
0,0.470575308,0.177447221,0.263883255,0.3900842,0.011474535,0.007516653,0.632188258,0.006354244,0.00547526,0.109873467,0.347826087,0.000205977,0.000738342,0.076612903,0.396372764,0.394951276,0.577189304,0.008772791,0.000490883,0.36104354,0.277337461,0.010342955,0.734899301,0.737180246,0.004950682,0.938289897,0.002269196,0.035891062,3.6e+09,2.58e+08,0.671572411,0.643428364,0.314645153,0.025494302,0,0.005797642,0.623865044,0.599205074,0.840688177,0.027243015,0.566667622,0.030800865
0,0.46481803,0.182925288,0.263901128,0.374278157,0.006097329,0.003449214,0.631236901,0.004932564,0.005810576,0.096471086,0.076461769,0.000156298,0.000174751,0.021129032,0.392754574,0.059900571,0.10174523,0.002056836,0.000335896,0.343679908,0.285100706,0.006735041,0.283194069,0.731958968,0.064126528,0.942828956,0.002337657,0.028802401,2.92e+09,3.08e+08,0.671572322,0.642949958,0.314569209,0.047166348,0,0.076972257,0.623687198,0.614021193,0.841337129,0.026971091,0.56589153,0.036571691
0,0.465490719,0.173865408,0.263912783,0.379941135,0.00862899,0.005122978,0.632095793,0.004292397,0.00541422,0.095966258,0.062968516,6.55e+08,0.000106666,0.019677419,0.392437982,0.140018106,0.218942636,0.020542229,0.002253735,0.346556596,0.277598529,0.00864994,0.47102843,0.733045299,0.017846406,0.932955215,0.002256752,0.05695228,8.36e+09,3.37e+08,0.671574375,0.644569792,0.314791345,0.033711602,0,0.007317881,0.623723611,0.623709203,0.840649732,0.027390858,0.566982649,0.04038102
0,0.464100048,0.169398677,0.264404659,0.381571104,0.006630869,0.004029385,0.632377639,0.008734349,0.005333241,0.104857752,0.124437781,0.000100504,0.000214089,0.033870968,0.401845277,0.215491645,0.340940213,0.058218001,0.003220041,0.34578668,0.278908415,0.006916066,0.624506351,0.732681616,0.00951318,0.930139635,0.00227305,0.028981565,6.91e+09,5.33e+09,0.671563029,0.62982715,0.312178873,0.04351399,0,0.00823249,0.623577574,0.608125444,0.840702416,0.027479725,0.567146327,0.02528172
0,0.467198443,0.171547765,0.264174651,0.382670169,0.010100437,0.006446767,0.640422734,0.005155072,0.005195922,0.095958116,0.145427286,0.000106619,0.00017929,0.033709677,0.392494516,0.248973745,0.371121251,0.074169857,0.005663643,0.351351763,0.277413791,0.009413662,0.607048583,0.734591205,0.004786619,0.930763203,0.00221748,0.024483556,6.33e+09,5.47e+09,0.671579757,0.656022847,0.316477361,0.028901672,0,0.005262223,0.623776799,0.600577558,0.839910497,0.02499974,0.577445287,0.035464109
0,0.478766681,0.180565505,0.26439922,0.383024105,0.018859224,0.012023277,0.631670799,0.003983257,0.005156879,0.103180419,0.101949025,0.000123624,9.46e+09,0.02483871,0.399923113,0.203548425,0.274142529,0.021194017,0.004008796,0.355891916,0.277183958,0.013916766,0.280611028,0.734995669,0.022682029,0.940251658,0.002569822,0.011941507,8.16e+09,2.37e+09,0.671554911,0.622834522,0.311871814,0.015553133,0,0.003953923,0.624946108,0.6046829,0.84162368,0.026896287,0.56561432,0.042646425
0,0.472093472,0.174328937,0.263769028,0.387662531,0.01133101,0.007063121,0.631097177,0.004611569,0.005620532,0.110313156,0.148425787,8.94e+09,0.000305625,0.031774194,0.404513693,0.216980303,0.320023003,0.003766824,0.000371908,0.357002921,0.27734538,0.010294698,0.500719749,0.734495149,0.016323049,0.93354091,0.002289993,0.055381895,6.06e+09,3.06e+08,0.671572248,0.642851149,0.314555262,0.025812849,0,0.006590346,0.623763813,0.621768958,0.84139905,0.026897241,0.565618081,0.038353747
0,0.462196053,0.183852345,0.264227491,0.3757591,0.006217765,0.004346296,0.631239298,0.002397432,0.00610365,0.095754556,0.019490255,6.52e+09,5.6e+09,0.011612903,0.393726962,0.096143962,0.126506171,0.052866701,0.007164914,0.342066504,0.279968047,0.004334233,0.57694258,0.731993725,0.01746916,0.942018219,0.002551771,0.007678609,0.000213596,0.000295044,0.671569399,0.642257054,0.314486884,0.04629123,0,0.013610655,0.623324907,0.606524037,0.840888957,0.027002799,0.565999165,0.06294023
0,0.470061985,0.189541107,0.264260127,0.38119854,0.01615658,0.007383152,0.631059506,0.003323941,0.005863301,0.114172651,0.125937031,6.9e+09,0.000228462,0.027741935,0.40057891,0.239670321,0.380520031,0.013907171,0.001639336,0.354464595,0.277289061,0.016538628,0.522773081,0.73563062,0.010242675,0.948858907,0.002360951,0.040018486,7.55e+09,1.24e+09,0.671570175,0.639850773,0.314173995,0.018156638,0,0.002746305,0.623824631,0.618451696,0.841983322,0.026907808,0.565659318,0.048821928
