y,x37,x49,x51,x58,x62,x69,x73,x75,x81,x82,x86
1,1.734972078,-0.153950415,-0.227703792,-0.070611996,-0.09109537,1.28378437,-0.683542262,-0.013538257,3.344972872,-0.035838582,-0.410916028
1,1.064861537,-0.359324561,-0.268184906,-0.070611996,-0.09109537,-0.141936359,0.003032834,-0.013538257,0.635011082,-0.035838582,0.147555646
1,-0.125642156,0.046959075,-0.183070769,-0.070611996,-0.09109537,-0.110428836,-0.559877653,-0.013538258,0.633091914,-0.035838582,-0.580798017
1,1.235172024,-0.243243522,-0.697215514,-0.070611996,-0.09109537,0.38637828,-0.738616938,-0.013538256,2.624809739,-0.035838582,-1.128202762
0,-1.007805949,-0.247708177,-0.257459141,-0.070611996,-0.09109537,0.016372206,-0.838291964,-0.013538258,-0.367251723,-0.035838582,-0.273564745
0,0.576749457,-0.127162483,0.045630224,-0.070611996,-0.09109537,-0.016335278,0.962616138,-0.013538259,0.471152884,-0.035838582,0.013325019
0,-0.262558429,-0.185203003,0.127284437,-0.070611996,-0.09109537,0.940442658,-0.734900242,-0.013538259,-0.209503842,-0.035838582,0.880831689
0,-0.9582712,-0.743284919,-0.202792337,-0.070611996,-0.09109537,-0.788378589,-0.838291964,-0.01353826,0.577945293,-0.035838582,-0.088498563
0,-0.637130185,-0.296819386,0.006879073,-0.070611996,-0.09109537,0.38365525,-0.419318972,-0.013538259,-0.50390586,-0.035838582,0.669907528
0,-0.659949564,-0.332536629,-0.217324019,-0.070611996,-0.09109537,2.097044674,2.030321503,-0.013538257,-0.358546046,-0.035838582,1.801969424
0,-0.312649749,-0.578092672,-0.062319412,-0.070611996,-0.09109537,-0.213924921,1.34442217,-0.013538258,-0.781377077,-0.035838582,0.906788698
0,0.610700241,-0.002152134,-0.194142527,-0.070611996,-0.09109537,0.991349014,0.226034588,-0.013538256,0.351210988,-0.035838582,0.700521543
0,1.494533745,0.850597034,-0.070623231,-0.070611996,-0.09109537,-0.021231263,-0.490274076,-0.013538257,0.727119519,-0.035838582,-0.315653634
0,0.615152802,-0.582557327,-0.290674413,-0.070611996,-0.09109537,0.016182416,0.388217681,-0.013538258,0.54767107,-0.035838582,0.244460505
0,-0.39168272,-0.337001284,-0.148471527,-0.070611996,-0.09109537,0.857773826,0.043578607,-0.013538256,0.777520431,-0.035838582,1.184407698
1,1.956487024,1.480113436,-0.191374587,-0.070611996,-0.09109537,0.857365574,-0.695368113,-0.013538259,1.328719831,-0.035838582,-0.559903159
1,2.127354081,-0.028940066,-0.322505717,-0.070611996,-0.09109537,-0.254796813,-0.206453662,-0.013538255,3.600000184,-0.035838582,-0.504361756
0,1.747216623,0.261262531,-0.191374587,-0.070611996,-0.09109537,0.93907666,-0.054407012,-0.013538258,1.976656302,-0.035838582,0.696116915
0,-0.938791243,-0.296819386,-0.285484527,-0.070611996,-0.09109537,0.013241757,2.148580009,-0.013538259,-0.214213886,-0.035838582,-0.282438897
0,0.19828171,1.180981529,-0.140513701,-0.070611996,-0.09109537,0.408394306,-0.749091262,-0.013538259,-0.16347877,-0.035838582,-0.560126609
0,0.171009769,-0.466476289,-0.23739158,-0.070611996,-0.09109537,0.029173012,-0.82852719,-0.013538259,0.473305587,-0.035838582,0.40447804
0,0.623501356,-0.207526279,-0.07615911,-0.070611996,-0.09109537,-0.092293037,0.634871136,-0.013538258,-0.021152211,-0.035838582,-0.055595793
0,0.101995063,-0.229849556,0.21758846,-0.070611996,-0.09109537,0.868128855,-0.701112097,-0.013538259,0.116167732,-0.035838582,1.107042391
0,-0.815789225,-0.743284919,-0.241197497,-0.070611996,-0.09109537,-0.729185842,-0.838291964,-0.01353826,0.835511596,-0.035838582,-0.222918892
0,0.45374744,0.493424608,0.490576484,-0.070611996,-0.09109537,-0.405595004,-0.535888071,-0.013538257,0.636752577,-0.035838582,-0.481500236
0,-0.408379826,-0.28342542,-0.20313833,-0.070611996,-0.09109537,2.009462948,1.722849389,-0.013538257,-0.125816426,-0.035838582,1.767742026
0,1.615866052,-0.171809037,-0.167847102,-0.070611996,-0.09109537,-0.24899735,-0.838291964,-0.013538257,0.866412098,-0.035838582,0.145367959
0,0.752625646,-0.537910774,-0.17753489,-0.070611996,-0.09109537,-0.016828316,0.290232062,-0.013538258,1.534723199,-0.035838582,0.730389503
0,-0.400031273,-0.359324561,-0.116986216,-0.070611996,-0.09109537,0.719994511,0.33415665,-0.013538256,1.009254732,-0.035838582,1.17613834
0,-1.131921108,-0.332536629,0.06638977,-0.070611996,-0.09109537,-0.161218852,2.429021608,-0.013538257,-0.441117221,-0.035838582,0.087223253
0,-0.357731936,-0.403971114,-0.201408368,-0.070611996,-0.09109537,-0.497513645,-0.483516447,-0.013538259,-0.163208395,-0.035838582,-0.275290113
1,1.786176538,-0.421829735,-0.311433959,-0.070611996,-0.09109537,-0.487557187,-0.365257941,-0.013538258,2.122478612,-0.035838582,-0.697477095
1,2.245346967,1.091688422,-0.258151125,-0.070611996,-0.09109537,-0.3347634,-0.331469796,-0.013538259,2.443477833,-0.035838582,-0.669035756
1,3.829902374,3.40884454,-0.922456583,-0.070611996,-0.09109537,6.315885736,1.92895707,-0.013538259,1.308335901,27.89777585,-0.385239309
1,1.990437808,0.703263408,-0.966743613,-0.070611996,-0.09109537,1.43033635,0.246307474,-0.013538258,2.00325465,-0.035838582,-0.758042611
0,1.648147124,0.323767705,-0.202100352,-0.070611996,-0.09109537,0.996043277,0.087503195,-0.013538257,1.327060838,-0.035838582,0.646511889
0,0.519422725,0.399666846,-0.132555875,-0.070611996,-0.09109537,-0.039718641,-0.58488088,-0.013538259,0.396357063,-0.035838582,-0.456459191
0,-1.320041841,-0.337001284,-0.258497118,-0.070611996,-0.09109537,0.081384431,1.814077379,-0.013538259,-0.594748689,-0.035838582,-0.208770316
0,0.713665731,-0.301284041,-0.118370185,-0.070611996,-0.09109537,0.402787801,0.989646653,-0.013538259,0.512245094,-0.035838582,0.70759156
0,0.829432336,-0.21645559,-0.194834512,-0.070611996,-0.09109537,-0.101850631,0.658522837,-0.013538258,0.532477942,-0.035838582,-0.126041765
0,-0.235286489,-0.14948576,-0.214902072,-0.070611996,-0.09109537,-0.346213729,1.449165418,-0.013538258,-0.605985122,-0.035838582,-0.456808417
0,-0.506892754,-0.439688357,-0.360564883,-0.070611996,-0.09109537,-0.637379202,1.861380781,-0.013538257,-0.104192939,-0.035838582,-0.813474285
0,-0.000413857,-0.225384901,0.091993209,-0.070611996,-0.09109537,0.747957963,-0.709559133,-0.013538259,-0.369992168,-0.035838582,0.793421048
0,-0.88202108,-0.738820264,-0.196564474,-0.070611996,-0.09109537,-0.835712419,-0.149013816,-0.01353826,0.266402885,-0.035838582,-0.242452454
0,-0.194100293,0.640758234,0.727927288,-0.070611996,-0.09109537,-0.453370842,-0.512236369,-0.013538257,0.077570925,-0.035838582,-0.463041883
0,-0.575350891,-0.220920245,-0.185146724,-0.070611996,-0.09109537,2.524783241,1.270088252,-0.013538257,-0.224469513,-0.035838582,1.835331351
0,0.289002655,-0.086980585,-0.186184701,-0.070611996,-0.09109537,0.757369365,-0.70178786,-0.013538256,0.540418122,-0.035838582,0.725478992
0,1.53405023,-0.08251593,-0.163003208,-0.070611996,-0.09109537,-0.245057737,-0.838291964,-0.013538258,0.271869082,-0.035838582,-0.023962616
0,1.265226815,0.533606506,-0.053323609,-0.070611996,-0.09109537,-0.205179556,-0.358500312,-0.013538256,0.943704559,-0.035838582,-0.25560411
