Bankrupt,Operating.Gross.Margin,Operating.Expense.Rate,Research.and.development.expense.rate,Cash.flow.rate,Interest-bearing.debt.interest.rate,Tax.rate.(A),Cash.Flow.Per.Share,Realized.Sales.Gross.Profit.Growth.Rate,Operating.Profit.Growth.Rate,After-tax.Net.Profit.Growth.Rate,Continuous.Net.Profit.Growth.Rate,Total.Asset.Growth.Rate,Total.Asset.Return.Growth.Rate.Ratio,Cash.Reinvestment.%,Current.Ratio,Interest.Expense.Ratio,Debt.ratio.%,Long-term.fund.suitability.ratio.(A),Contingent.liabilities/Net.worth,Total.Asset.Turnover,Inventory.Turnover.Rate.(times),Fixed.Assets.Turnover.Frequency,Net.Worth.Turnover.Rate.(times),Operating.profit.per.person,Quick.Assets/Total.Assets,Current.Assets/Total.Assets,Cash/Total.Assets,Inventory/Working.Capital,Current.Liabilities/Liability,Retained.Earnings.to.Total.Assets,Total.income/Total.expense,Total.expense/Assets,Current.Asset.Turnover.Rate,Quick.Asset.Turnover.Rate,Cash.Turnover.Rate,Equity.to.Long-term.Liability,Cash.Flow.to.Total.Assets,Cash.Flow.to.Liability,CFO.to.Assets,Cash.Flow.to.Equity,Current.Liability.to.Current.Assets,No-credit.Interval,Degree.of.Financial.Leverage.(DFL),Interest.Coverage.Ratio.(Interest.expense.to.EBIT),Equity.to.Liability
1,-0.410774987,-0.615759797,-0.754994909,-0.577275969,-0.150673236,-0.820479557,-0.640081007,-0.023415396,0.022572805,-0.006688778,-0.00973246,-0.171897342,-0.107722639,-0.732456739,-0.692792087,-0.082680333,1.734972078,-0.126180951,0.308799703,-0.5428493,-0.663654506,-0.407534434,-0.153950415,-0.227703792,-1.160446383,-1.523562319,-0.863416899,-0.040631484,-0.415297874,-1.205669209,-0.041523475,1.28378437,-0.173952089,1.308616378,-0.683542262,0.570333646,-0.258151854,-0.108869819,-1.222505071,-0.214903089,3.344972872,-0.08115268,-0.057029506,-0.091418054,-0.679907105
1,0.147355673,-0.615759797,-0.754994909,-0.34418632,-0.150673236,-0.820479557,-0.284988545,-0.025061712,0.013498,0.040046494,-0.002240172,0.216266064,0.023923101,-0.132563169,-0.484361791,0.383934543,1.064861537,-0.12505005,-0.001348137,-0.766938411,2.227340612,-0.116308212,-0.359324561,-0.268184906,-1.355795044,-1.561343126,-0.785953917,1.081099686,-2.194064865,-0.135796272,-0.026432423,-0.141936359,-0.422870022,1.650228357,0.003032834,0.275066401,-0.183025837,-0.095485454,-0.436032141,-0.118054478,0.635011082,-0.02087679,14.86839012,0.3448986,-0.583566149
1,-0.580780303,1.820005845,-0.754994909,-0.289168763,-0.150673236,-0.820479557,-0.228717062,-0.023889639,0.027927986,0.040307331,-0.001702541,0.010161601,0.089240197,0.005145541,-0.484015618,0.462805495,-0.125642156,-0.117020474,0.378700447,0.33856787,-0.663654506,-0.407534434,0.046959075,-0.183070769,-0.69652229,-0.752973803,-0.79156918,0.9286491,1.029935629,-0.797347594,-0.02655658,-0.110428836,1.949129682,0.863035536,-0.559877653,-0.248174376,-0.579913277,-0.252247321,-0.24467037,-0.31787893,0.633091914,-0.031098035,-0.172981685,0.732550537,-0.256252516
1,-1.128371549,-0.615759797,-0.754994909,-0.094192422,-0.150673236,-0.820479557,0.112792629,-0.063428274,0.004597615,0.001544614,-0.006971086,-1.673711865,-0.093777728,0.39029959,-0.666102209,-0.061899046,1.235172024,-0.129835824,-0.042759923,-0.453213656,-0.462890957,3.359369416,-0.243243522,-0.697215514,-1.588469525,-1.4137972,-0.873760076,-0.061942348,-0.139142935,-1.212721036,-0.053064281,0.38637828,2.421399084,0.197634812,-0.738616938,-0.144188518,-0.25996661,-0.112621576,0.491331438,-0.186920949,2.624809739,-0.102548934,-0.052342267,-0.056638073,-0.611625621
0,-0.273762616,-0.615759797,-0.754994909,-0.264389864,-0.150673236,-0.77838095,-0.250061418,-0.021467825,0.019503019,0.055207199,0.000798727,0.484201867,-0.010036009,-0.073176288,-0.069266676,0.003444176,-1.007805949,-0.113255068,-0.227497604,0.129418033,-0.663654506,-0.407534434,-0.247708177,-0.257459141,-0.11055328,-0.494489084,0.143613556,-0.025881999,0.699516031,0.023106199,-0.02285547,0.016372206,-0.422870022,2.285923692,-0.838291964,-0.248174376,0.002833064,0.012576978,-0.319347857,-0.024689644,-0.367251723,0.00450979,-0.038841269,0.018414836,0.419411251
0,0.01355095,-0.615759797,-0.754994909,-0.204437526,-0.150673236,0.507804066,-0.116174096,-0.020115705,0.149081858,0.05596703,0.000983251,0.597559322,0.013590861,0.092074165,-0.450263827,0.134161225,0.576749457,-0.116037559,0.344924877,-0.169367448,-0.663654506,-0.407534434,-0.127162483,0.045630224,-0.918625872,-0.833093317,-0.477122687,0.134686214,-0.665716332,-0.171365241,-0.022922816,-0.016335278,-0.422870022,1.41555578,0.962616138,0.067486014,-0.421948622,-0.164931539,-0.073380565,-0.27079249,0.471152884,-0.02666179,-0.001894386,0.129147903,-0.48362043
0,0.880990473,-0.615759797,-0.724422834,0.295865256,-0.150673236,1.034762486,0.122494608,-0.024022615,0.007824877,0.01552021,-0.005429347,-1.597453214,-0.04551244,0.373516341,-0.189526907,0.019726422,-0.262558429,-0.106600294,0.169585615,0.069660937,2.097616472,-0.407534434,-0.185203003,0.127284437,-0.911251891,-0.929187452,-0.865754935,-0.00313685,-1.264571782,-0.040658544,-0.021669396,0.940442658,2.669961927,1.16305997,-0.734900242,0.14422017,-0.145910675,-0.086823307,0.416745934,-0.087870647,-0.209503842,-0.012135379,-0.038426675,0.020279836,-0.192474309
0,-0.088635534,-0.615759797,-0.429735618,-0.323607234,-0.150673236,-0.609260686,-0.296630921,-0.018933041,0.029332313,0.055793139,0.002972869,0.532292908,-0.00288292,-0.176457821,-0.473180428,0.032427797,-0.9582712,-0.090730234,-0.115891374,-1.215116634,1.350158332,1.860708744,-0.743284919,-0.202792337,-1.509807649,-1.818208184,-0.515316316,0.228120969,-0.895820584,0.285113621,-0.002303713,-0.788378589,-0.422870022,-0.637086633,-0.838291964,-0.104079699,-0.158502259,-0.095313569,-0.429818497,-0.093133999,0.577945293,-0.046369421,-0.031806275,0.047427226,0.355126984
0,0.669743975,-0.615759797,-0.754994909,0.168715903,-0.150673236,0.738620564,-0.009452317,-0.022711682,0.012817265,0.030573179,-0.002733812,0.508247387,0.000151724,0.074860576,0.078168074,0.016359792,-0.637130185,-0.098625528,0.11877541,-0.154428174,1.467527792,-0.407534434,-0.296819386,0.006879073,-0.798858212,-0.651262729,-0.793380637,-0.008102888,-1.157882061,0.547992557,-0.016420155,0.38365525,-0.422870022,1.605670273,-0.419318972,0.016502674,-0.209502329,-0.119334786,0.128813468,-0.117218568,-0.50390586,-0.0073917,-0.037763943,0.023217408,0.040677751
0,1.802043532,-0.615759797,-0.754994909,-0.137870482,-0.150673236,2.346351834,-0.187968747,-0.024716915,0.00487868,0.009974579,-0.006517304,0.264357106,-0.052665529,-0.049937943,-0.077055552,0.034968072,-0.659949564,-0.120683568,-0.227497604,-0.229124545,-0.651207166,-0.407534434,-0.332536629,-0.217324019,-0.749688546,-0.621919879,-0.225283463,-0.005301762,-0.523865882,-0.03977236,-0.025156302,2.097044674,-0.422870022,1.75419722,2.030321503,-0.20188434,0.057991871,0.018277766,-0.154834507,0.006036282,-0.358546046,-0.012207315,-0.036731852,0.027688277,0.058507469
