x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x13,x16,x17,x18,x19,x21,x22,x23,x26,x27,x33,x37,x39,x41,x42,x43,x50,x53,x55,x60,x63,x64,x65,x72,x74,x76,x83,x86,x87,x88
ROA(C) before interest and depreciation before interest,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,Operating Gross Margin,Realized Sales Gross Margin,Operating Profit Rate,Pre-tax net Interest Rate,After-tax net Interest Rate,Non-industry income and expenditure/revenue,Continuous interest rate (after tax),Cash flow rate,Net Value Per Share (B),Net Value Per Share (A),Net Value Per Share (C),Persistent EPS in the Last Four Seasons,Revenue Per Share (Yuan ??),Operating Profit Per Share (Yuan ??),Per Share Net profit before tax (Yuan ??),After-tax Net Profit Growth Rate,Regular Net Profit Growth Rate,Current Ratio,Debt ratio %,Borrowing dependency,Operating profit/Paid-in capital,Net profit before tax/Paid-in capital,Inventory and accounts receivable/Net value,Revenue per person,Working Capital to Total Assets,Current Assets/Total Assets,Operating Funds to Liability,Current Liabilities/Liability,Working Capital/Equity,Current Liabilities/Equity,Working capitcal Turnover Rate,Cash Flow to Sales,Equity to Long-term Liability,Net Income to Total Assets,Gross Profit to Sales,Net Income to Stockholder's Equity,Liability to Equity
-2.199329705,-2.015903052,-2.381731378,-0.410774987,-0.410380579,0.018220348,-0.014883346,-0.012337703,-0.083332495,-0.021785164,-0.577275969,-1.254278683,-1.249658461,-1.250423174,-1.772085577,-0.022111263,-0.470397313,-1.384823903,-0.006688778,-0.006875209,-0.692792087,1.734972078,0.975896672,-0.470302219,-1.455396035,-0.309192108,-0.013538259,-2.381157087,-1.523562319,-0.565050655,-0.415297874,-1.917941071,0.664891819,-0.014991967,0.007791405,0.570333646,-2.241622665,-0.410916028,-0.82679718,0.78560444
-0.660913946,-0.298079071,-0.58622384,0.147355673,0.148263879,0.01662229,0.020054965,0.020498315,-0.000982792,0.015829641,-0.34418632,-0.240927727,-0.239141336,-0.240135132,-0.585753208,-0.022111263,-0.549724608,-0.432241966,0.040046494,0.040241792,-0.484361791,1.064861537,0.129531035,-0.547980906,-0.43978858,-0.330790041,-0.013538259,-1.061081438,-1.561343126,-0.359682591,-2.194064865,-0.511243948,-0.142518438,-0.006354731,0.00801467,0.275066401,-0.299413593,0.147555646,-0.027287302,0.278648956
-0.648907579,-0.294788221,-0.496145314,-0.580780303,-0.580542397,0.018490666,0.019055047,0.020698429,-0.008353801,0.01901064,-0.289168763,-0.67664374,-0.673638871,-0.674534167,-0.478673327,-0.022111263,-0.435140737,-0.478260417,0.040307331,0.03992744,-0.484015618,-0.125642156,0.02097955,-0.432496623,-0.488630021,-0.167222931,-0.013538259,-1.049090972,-0.752973803,-0.257364897,1.029935629,-0.508042618,-0.057238687,-0.006383874,0.007342561,-0.248174376,-0.306376753,-0.580798017,-0.027057108,-0.14665311
-1.902372241,-2.154941487,-2.16519646,-1.128371549,-1.123592511,0.003694713,-0.013746184,-0.014930478,-0.040856234,-0.015706822,-0.094192422,-1.028951259,-1.024961164,-1.025776815,-1.614283647,-0.022111263,-1.11382982,-1.38252298,0.001544614,0.006047096,-0.666102209,1.235172024,0.422920992,-1.115360208,-1.453187126,-0.143576917,-0.013538259,-2.146021635,-1.4137972,-0.085779517,-0.139142935,-1.401694175,0.358540434,-0.013440299,0.007785467,-0.144188518,-2.400680831,-1.128202762,-0.691191312,0.377642268
-0.263103003,-0.193594567,-0.156618563,-0.273762616,-0.273242079,0.017639959,0.022417516,0.022995384,0.00146692,0.022485425,-0.264389864,-0.183662194,-0.182035946,-0.183042687,-0.303964047,-0.022111263,-0.496839745,-0.333302296,0.055207199,0.054765973,-0.069266676,-1.007805949,-0.277659512,-0.494816786,-0.335724404,-0.349036572,-0.013538259,-0.005726891,-0.494489084,-0.234135072,0.699516031,-0.089688978,-0.28497761,-0.001957106,0.008623673,-0.248174376,-0.092691174,-0.273564745,0.006956977,-0.313455855
-0.219880083,-0.096514476,-0.154886284,0.01355095,0.014794637,0.023427951,0.023505662,0.023413012,-0.011984625,0.023275609,-0.204437526,-0.62062311,-0.617774903,-0.618682862,-0.275785131,-0.022111263,-0.147212035,-0.298788457,0.05596703,0.055522676,-0.450263827,0.576749457,0.163755197,-0.144819663,-0.298909247,-0.10652529,-0.013538259,-0.911282992,-0.833093317,-0.224118062,-0.665716332,-0.418391613,-0.023695192,-0.005604009,0.007340258,0.067486014,-0.102275223,0.013325019,0.021239591,0.060693723
0.152317278,0.198016647,0.093695802,0.880990473,0.882574042,0.027005694,0.029024818,0.026832343,-0.009534913,0.026405955,0.295865256,-0.474969471,-0.472528584,-0.253787673,-0.143344225,-0.022111263,0.049637179,-0.050288822,0.01552021,0.015242356,-0.189526907,-0.262558429,-0.071684644,0.053069006,-0.086117642,-0.217028511,-0.013538259,-0.372194932,-0.929187452,0.100732608,-1.264571782,-0.17998823,-0.267028691,-0.003152859,0.008239631,0.14422017,0.198730676,0.880831689,0.067349645,-0.177779702
-0.256699607,0.034296833,-0.205122385,-0.088635534,-0.087944574,0.020096675,0.055277566,0.051263593,0.068068473,0.046717747,-0.323607234,-0.193621417,-0.191967318,-0.192971808,-0.250424106,-0.022111263,-0.476273409,-0.241265394,0.055793139,0.055349501,-0.473180428,-0.9582712,-0.151611011,-0.475027919,-0.237796087,-0.54760723,-0.013538259,-1.045556093,-1.818208184,-0.331863725,-0.895820584,-0.508820363,-0.338748264,-0.00559758,0.007961713,-0.104079699,0.075007005,-0.088498563,0.033586736,-0.305850762
0.51570997,0.490079632,0.452277626,0.669743975,0.671133077,0.028516296,0.034798854,0.031191337,-0.00078594,0.031754896,0.168715903,-0.025559527,-0.024375412,-0.025417894,0.132809153,-0.022111263,0.187725434,0.159095131,0.030573179,0.030233359,0.078168074,-0.637130185,-0.122985894,0.193067855,0.18925973,-0.241512376,-0.013538259,0.038524884,-0.651262729,0.027216272,-1.157882061,-0.030721442,-0.311446443,-0.000687887,0.008037363,0.016502674,0.476583449,0.669907528,0.106022465,-0.2522579
-0.281512765,-0.214985095,-0.312523704,1.802043532,1.804016339,0.023205336,0.024544793,0.023151994,-0.009075592,0.022515817,-0.137870482,-0.411479424,-0.409216086,-0.410171325,-0.332142963,-0.022111263,-0.223601283,-0.29188569,0.009974579,0.009719553,-0.077055552,-0.659949564,-0.216489945,-0.221021568,-0.291055347,-0.251566586,-0.013538259,-0.08432788,-0.621919879,-0.156296456,-0.523865882,-0.087234291,-0.280845259,-0.001236365,0.008897476,-0.20188434,-0.119810685,1.801969424,0.004927797,-0.256324086
-0.31673144,-0.187012866,-0.29606705,0.906651652,0.913304074,0.024843147,0.030083554,0.027519689,-0.001223389,0.026537653,1.306550373,-0.038008556,-0.036789627,-0.037829295,-0.275785131,-0.022111263,-0.279424194,-0.241265394,0.016285712,0.016004706,0.664133798,-0.312649749,-0.316222934,-0.278616031,-0.236568915,-0.526754053,-0.013538259,-0.420009702,-1.587766516,-0.078090883,-3.145114342,-0.207459664,-0.407837566,0.001232772,0.005792108,-0.248174376,-0.068139382,0.906788698,0.017016494,-0.188595532
0.122701574,0.086127729,0.259994619,0.700445744,0.701863109,0.024374065,0.024603612,0.024935615,-0.012159604,0.024410233,0.205674262,-0.396540589,-0.394319027,-0.395277644,-0.160251575,-0.022111263,0.037884987,-0.20214971,0.053882221,0.053446449,-0.420769953,0.610700241,0.145348337,0.043026895,-0.194599637,-0.228386045,-0.013538259,-0.841439074,-1.033367656,0.034699885,-1.278403937,-0.372629151,-0.099724258,-0.005354868,0.008340284,0.440275032,0.039240788,0.700521543,0.056456383,0.07352097
0.089083748,0.051573798,-0.00591026,-0.315462033,-0.314979884,0.022044557,0.022672397,0.022534253,-0.010059851,0.021978896,-0.172938925,-0.51729617,-0.514736916,-0.515668234,-0.199702057,-0.022111262,0.175973242,-0.176839562,0.020684036,0.020384925,-0.501012675,1.494533745,0.83655044,0.180662894,-0.168092724,0.557518079,-0.013538259,-1.150387854,-0.300997451,-0.169945096,-0.199284222,-0.592691208,0.522719862,-0.006726027,0.008266941,0.559902508,-0.097707985,-0.315653634,0.044030663,0.562596029
-0.977882021,-0.819678882,-0.92921515,0.244501568,0.248251147,0.015183242,-0.003609761,-8.72754E-05,-0.049823931,-0.002749824,-0.030880233,-0.859644466,-0.856127836,-0.856981762,-0.74637303,-0.022111263,-0.543848512,-0.71525544,0.01283056,0.012563778,-0.466983945,0.615152802,0.154516773,-0.542073781,-0.741918299,-0.387019145,-0.013538259,-1.029382597,-1.71398663,-0.233845507,-2.331336928,-0.492369834,-0.248148824,-0.005857927,0.008513046,0.459615361,-0.853673265,0.244460505,-0.162556303,0.075169151
0.241964814,0.085305016,0.253065501,1.184342276,1.186205102,0.027172655,0.029407139,0.027319576,-0.009141209,0.027864757,0.231083133,-0.330560736,-0.328523686,-0.329497219,-0.129254767,-0.022111263,-0.020875972,-0.135422956,0.018614348,0.018323756,-0.509459277,-0.39168272,-0.157909937,-0.01604435,-0.122932799,-0.405731148,-0.013538259,-1.131837964,-1.495464796,0.1942701,-0.45030526,-0.547644474,-0.23125887,-0.0068111,0.008031922,-0.106423546,0.138198769,1.184407698,0.05337333,-0.205129129
-1.451733285,-1.324001726,-1.442835975,-0.559701476,-0.559444166,0.018450914,0.010183226,0.012154452,-0.028017117,0.010237566,-0.445611816,-1.010277716,-1.006339841,-1.007159714,-1.512839549,-0.022111262,-0.376379778,-1.357212832,0.001153358,0.000934644,-0.580009176,1.956487024,1.120212056,-0.373720735,-1.427171082,0.325433386,-0.013538259,-1.859518381,-0.241660716,-0.458689649,0.498788812,-1.48983985,1.28070379,-0.008808643,0.00772002,-0.109912942,-1.410155942,-0.559903159,-0.556357776,1.056600608
-0.695332196,-0.330987577,-0.623467846,-0.504254999,-0.503946646,0.014070167,0.013702545,0.015277963,-0.008135077,0.00585103,-0.524673305,-1.326483051,-1.32166091,-1.3224093,-0.777369838,-0.022111263,-0.614361664,-0.565695474,-0.058327038,-0.071466027,-0.700304024,2.127354081,1.366640024,-0.614436056,-0.582876822,0.048290934,-0.013538259,-2.3718913,-1.608177026,-0.496822938,-0.850701005,-2.336854778,0.947800224,-0.019244188,0.00869707,0.802482179,-0.502804255,-0.504361756,-0.140522532,1.330870438
